"PERIOD";"COMPONENT";"MEASURE";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"STATUS";"UNIT_MEASURE"
2014;"ALV+SH";"in % ALV";"Total";"Total";"25-39";4.1827;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"Total";"25-39";8.1477;"A";"%"
2014;"ALV+SH";"Absolut";"Total";"Total";"40-54";4042;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"40-54";1.685;"A";"%"
2014;"ALV+SH";"in % ALV";"Total";"Total";"40-54";4.0454;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"Total";"40-54";6.3371;"A";"%"
2014;"ALV+SH";"Absolut";"Total";"Total";"55-65";1082;"A";"n"
2014;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"55-65";0.635;"A";"%"
2014;"ALV+SH";"in % ALV";"Total";"Total";"55-65";2.6737;"A";"%"
2014;"ALV+SH";"in % SH";"Total";"Total";"55-65";3.9648;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"Total";"Total";2628;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.3829;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"Total";"Total";0.8745;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"Total";"Total";1.0836;"A";"%"
2014;"ALV+IV";"Absolut";"M";"Total";"Total";1373;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"M";"Total";"Total";0.3749;"A";"%"
2014;"ALV+IV";"in % ALV";"M";"Total";"Total";0.8268;"A";"%"
2014;"ALV+IV";"in % IV";"M";"Total";"Total";1.0575;"A";"%"
2014;"ALV+IV";"Absolut";"F";"Total";"Total";1255;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"F";"Total";"Total";0.392;"A";"%"
2014;"ALV+IV";"in % ALV";"F";"Total";"Total";0.9335;"A";"%"
2014;"ALV+IV";"in % IV";"F";"Total";"Total";1.1137;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"CH";"Total";1991;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.4661;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"CH";"Total";1.2123;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"CH";"Total";1.0573;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"AUSL";"Total";637;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.2457;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"AUSL";"Total";0.4675;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"AUSL";"Total";1.1748;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"Total";"18-24";117;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.1719;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"Total";"18-24";0.3124;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"Total";"18-24";1.3188;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"Total";"25-39";404;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.1942;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"Total";"25-39";0.3293;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"Total";"25-39";1.1572;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"Total";"40-54";1005;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.4189;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"Total";"40-54";1.0058;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"Total";"40-54";1.1204;"A";"%"
2014;"ALV+IV";"Absolut";"Total";"Total";"55-65";1102;"A";"n"
2014;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.6467;"A";"%"
2014;"ALV+IV";"in % ALV";"Total";"Total";"55-65";2.7231;"A";"%"
2014;"ALV+IV";"in % IV";"Total";"Total";"55-65";1.0106;"A";"%"
2014;"SH+IV";"Absolut";"Total";"Total";"Total";6834;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.9956;"A";"%"
2014;"SH+IV";"in % SH";"Total";"Total";"Total";3.7974;"A";"%"
2014;"SH+IV";"in % IV";"Total";"Total";"Total";2.8179;"A";"%"
2014;"SH+IV";"Absolut";"M";"Total";"Total";3699;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"M";"Total";"Total";1.0099;"A";"%"
2014;"SH+IV";"in % SH";"M";"Total";"Total";4.0858;"A";"%"
2014;"SH+IV";"in % IV";"M";"Total";"Total";2.849;"A";"%"
2014;"SH+IV";"Absolut";"F";"Total";"Total";3135;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"F";"Total";"Total";0.9793;"A";"%"
2014;"SH+IV";"in % SH";"F";"Total";"Total";3.5055;"A";"%"
2014;"SH+IV";"in % IV";"F";"Total";"Total";2.7819;"A";"%"
2014;"SH+IV";"Absolut";"Total";"CH";"Total";4477;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";1.0482;"A";"%"
2014;"SH+IV";"in % SH";"Total";"CH";"Total";4.6877;"A";"%"
2014;"SH+IV";"in % IV";"Total";"CH";"Total";2.3776;"A";"%"
2014;"SH+IV";"Absolut";"Total";"AUSL";"Total";2357;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.9091;"A";"%"
2014;"SH+IV";"in % SH";"Total";"AUSL";"Total";2.7907;"A";"%"
2014;"SH+IV";"in % IV";"Total";"AUSL";"Total";4.3469;"A";"%"
2014;"SH+IV";"Absolut";"Total";"Total";"18-24";432;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.6348;"A";"%"
2014;"SH+IV";"in % SH";"Total";"Total";"18-24";1.667;"A";"%"
2014;"SH+IV";"in % IV";"Total";"Total";"18-24";4.8693;"A";"%"
2014;"SH+IV";"Absolut";"Total";"Total";"25-39";1521;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.731;"A";"%"
2014;"SH+IV";"in % SH";"Total";"Total";"25-39";2.4152;"A";"%"
2014;"SH+IV";"in % IV";"Total";"Total";"25-39";4.3568;"A";"%"
2014;"SH+IV";"Absolut";"Total";"Total";"40-54";2884;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";1.2022;"A";"%"
2014;"SH+IV";"in % SH";"Total";"Total";"40-54";4.5216;"A";"%"
2014;"SH+IV";"in % IV";"Total";"Total";"40-54";3.2153;"A";"%"
2014;"SH+IV";"Absolut";"Total";"Total";"55-65";1997;"A";"n"
2014;"SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";1.172;"A";"%"
2014;"SH+IV";"in % SH";"Total";"Total";"55-65";7.3177;"A";"%"
2014;"SH+IV";"in % IV";"Total";"Total";"55-65";1.8314;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"Total";"Total";66;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.0096;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"Total";"Total";0.022;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"Total";"Total";0.0367;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"Total";"Total";0.0272;"A";"%"
2014;"ALV+SH+IV";"Absolut";"M";"Total";"Total";37;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"M";"Total";"Total";0.0101;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"M";"Total";"Total";0.0223;"A";"%"
2014;"ALV+SH+IV";"in % SH";"M";"Total";"Total";0.0409;"A";"%"
2014;"ALV+SH+IV";"in % IV";"M";"Total";"Total";0.0285;"A";"%"
2014;"ALV+SH+IV";"Absolut";"F";"Total";"Total";29;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"F";"Total";"Total";0.0091;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"F";"Total";"Total";0.0216;"A";"%"
2014;"ALV+SH+IV";"in % SH";"F";"Total";"Total";0.0324;"A";"%"
2014;"ALV+SH+IV";"in % IV";"F";"Total";"Total";0.0257;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"CH";"Total";41;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.0096;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"CH";"Total";0.025;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"CH";"Total";0.0429;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"CH";"Total";0.0218;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"AUSL";"Total";25;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.0096;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"AUSL";"Total";0.0183;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"AUSL";"Total";0.0296;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"AUSL";"Total";0.0461;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"Total";"18-24";4;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.0059;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"Total";"18-24";0.0107;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"Total";"18-24";0.0154;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"Total";"18-24";0.0451;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"Total";"25-39";17;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.0082;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"Total";"25-39";0.0139;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"Total";"25-39";0.027;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"Total";"25-39";0.0487;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"Total";"40-54";27;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.0113;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"Total";"40-54";0.027;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"Total";"40-54";0.0423;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"Total";"40-54";0.0301;"A";"%"
2014;"ALV+SH+IV";"Absolut";"Total";"Total";"55-65";18;"A";"n"
2014;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.0106;"A";"%"
2014;"ALV+SH+IV";"in % ALV";"Total";"Total";"55-65";0.0445;"A";"%"
2014;"ALV+SH+IV";"in % SH";"Total";"Total";"55-65";0.066;"A";"%"
2014;"ALV+SH+IV";"in % IV";"Total";"Total";"55-65";0.0165;"A";"%"
2013;"Total";"Absolut";"Total";"Total";"Total";21765;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"Total";"Total";3.2038;"R";"%"
2013;"Total";"Absolut";"M";"Total";"Total";11325;"R";"n"
2013;"Total";"in % aller Beziehenden";"M";"Total";"Total";3.135;"R";"%"
2013;"Total";"Absolut";"F";"Total";"Total";10440;"R";"n"
2013;"Total";"in % aller Beziehenden";"F";"Total";"Total";3.2819;"R";"%"
2013;"Total";"Absolut";"Total";"CH";"Total";12561;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"CH";"Total";2.9526;"R";"%"
2013;"Total";"Absolut";"Total";"AUSL";"Total";9204;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"AUSL";"Total";3.6245;"R";"%"
2013;"Total";"Absolut";"Total";"Total";"18-24";2281;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"Total";"18-24";3.3141;"R";"%"
2013;"Total";"Absolut";"Total";"Total";"25-39";7126;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"Total";"25-39";3.4945;"R";"%"
2013;"Total";"Absolut";"Total";"Total";"40-54";8235;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"Total";"40-54";3.4537;"R";"%"
2013;"Total";"Absolut";"Total";"Total";"55-65";4123;"R";"n"
2013;"Total";"in % aller Beziehenden";"Total";"Total";"55-65";2.4518;"R";"%"
2013;"ALV+SH";"Absolut";"Total";"Total";"Total";12323;"A";"n"
2013;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"Total";1.8139;"A";"%"
2013;"ALV+SH";"in % ALV";"Total";"Total";"Total";4.1908;"A";"%"
2013;"ALV+SH";"in % SH";"Total";"Total";"Total";7.0375;"A";"%"
2013;"ALV+SH";"Absolut";"M";"Total";"Total";6240;"A";"n"
