"PERIOD";"COMPONENT";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"UNIT_MEASURE"
2015;"ALV";"M";"Total";"Total";175167;"n"
2015;"ALV";"M";"Total";"Total";6.3978;"%"
2015;"ALV";"F";"Total";"Total";139159;"n"
2015;"ALV";"F";"Total";"Total";5.1745;"%"
2015;"ALV";"Total";"CH";"Total";169969;"n"
2015;"ALV";"Total";"CH";"Total";4.3494;"%"
2015;"ALV";"Total";"AUSL";"Total";144357;"n"
2015;"ALV";"Total";"AUSL";"Total";9.501;"%"
2015;"ALV";"Total";"Total";"18-24";38993;"n"
2015;"ALV";"Total";"Total";"18-24";5.7542;"%"
2015;"ALV";"Total";"Total";"25-39";128609;"n"
2015;"ALV";"Total";"Total";"25-39";7.438;"%"
2015;"ALV";"Total";"Total";"40-54";103999;"n"
2015;"ALV";"Total";"Total";"40-54";5.4673;"%"
2015;"ALV";"Total";"Total";"55-65";42725;"n"
2015;"ALV";"Total";"Total";"55-65";3.8204;"%"
2015;"SH";"Total";"Total";"Total";182912;"n"
2015;"SH";"Total";"Total";"Total";3.3703;"%"
2015;"SH";"M";"Total";"Total";92753;"n"
2015;"SH";"M";"Total";"Total";3.3877;"%"
2015;"SH";"F";"Total";"Total";90159;"n"
2015;"SH";"F";"Total";"Total";3.3525;"%"
2015;"SH";"Total";"CH";"Total";96642;"n"
2015;"SH";"Total";"CH";"Total";2.473;"%"
2015;"SH";"Total";"AUSL";"Total";86270;"n"
2015;"SH";"Total";"AUSL";"Total";5.6779;"%"
2015;"SH";"Total";"Total";"18-24";25402;"n"
2015;"SH";"Total";"Total";"18-24";3.7486;"%"
2015;"SH";"Total";"Total";"25-39";64094;"n"
2015;"SH";"Total";"Total";"25-39";3.7068;"%"
2015;"SH";"Total";"Total";"40-54";64484;"n"
2015;"SH";"Total";"Total";"40-54";3.39;"%"
2015;"SH";"Total";"Total";"55-65";28932;"n"
2015;"SH";"Total";"Total";"55-65";2.5871;"%"
2015;"IV";"Total";"Total";"Total";238955;"n"
2015;"IV";"Total";"Total";"Total";4.4029;"%"
2015;"IV";"M";"Total";"Total";127836;"n"
2015;"IV";"M";"Total";"Total";4.6691;"%"
2015;"IV";"F";"Total";"Total";111119;"n"
2015;"IV";"F";"Total";"Total";4.1319;"%"
2015;"IV";"Total";"CH";"Total";186330;"n"
2015;"IV";"Total";"CH";"Total";4.7681;"%"
2015;"IV";"Total";"AUSL";"Total";52625;"n"
2015;"IV";"Total";"AUSL";"Total";3.4636;"%"
2015;"IV";"Total";"Total";"18-24";8961;"n"
2015;"IV";"Total";"Total";"18-24";1.3224;"%"
2015;"IV";"Total";"Total";"25-39";35135;"n"
2015;"IV";"Total";"Total";"25-39";2.032;"%"
2015;"IV";"Total";"Total";"40-54";86297;"n"
2015;"IV";"Total";"Total";"40-54";4.5367;"%"
2015;"IV";"Total";"Total";"55-65";108562;"n"
2015;"IV";"Total";"Total";"55-65";9.7074;"%"
2014;"Total";"Total";"Total";"Total";686397;"n"
2014;"Total";"Total";"Total";"Total";12.7626;"%"
2014;"Total";"M";"Total";"Total";366260;"n"
2014;"Total";"M";"Total";"Total";13.506;"%"
2014;"Total";"F";"Total";"Total";320137;"n"
2014;"Total";"F";"Total";"Total";12.0066;"%"
2014;"Total";"Total";"CH";"Total";427123;"n"
2014;"Total";"Total";"CH";"Total";10.9627;"%"
2014;"Total";"Total";"AUSL";"Total";259274;"n"
2014;"Total";"Total";"AUSL";"Total";17.4947;"%"
2014;"Total";"Total";"Total";"18-24";68055;"n"
2014;"Total";"Total";"Total";"18-24";10.0073;"%"
2014;"Total";"Total";"Total";"25-39";208062;"n"
2014;"Total";"Total";"Total";"25-39";12.2345;"%"
2014;"Total";"Total";"Total";"40-54";239887;"n"
2014;"Total";"Total";"Total";"40-54";12.6092;"%"
2014;"Total";"Total";"Total";"55-65";170393;"n"
2014;"Total";"Total";"Total";"55-65";15.5606;"%"
2014;"ALV";"Total";"Total";"Total";300504;"n"
2014;"ALV";"Total";"Total";"Total";5.5875;"%"
2014;"ALV";"M";"Total";"Total";166062;"n"
2014;"ALV";"M";"Total";"Total";6.1236;"%"
2014;"ALV";"F";"Total";"Total";134442;"n"
2014;"ALV";"F";"Total";"Total";5.0422;"%"
2014;"ALV";"Total";"CH";"Total";164234;"n"
2014;"ALV";"Total";"CH";"Total";4.2153;"%"
2014;"ALV";"Total";"AUSL";"Total";136270;"n"
2014;"ALV";"Total";"AUSL";"Total";9.1949;"%"
2014;"ALV";"Total";"Total";"18-24";37447;"n"
